;Алексей Лихачев;;19 сентября 2020;https://stopgame.ru/show/113592/spelunky_2_review
;Кирилл Волошин;;10 сентября 2020;https://stopgame.ru/show/113349/eternal_hope_review
;Владимир Сечкарев;;10 сентября 2020;https://stopgame.ru/show/113347/inmost_review
;Джуби;;31 августа 2020;https://stopgame.ru/show/113098/armello_review
;Степан Песков;;31 августа 2020;https://stopgame.ru/show/113095/crusader_kings_iii_review
;Алексей Лихачев;;27 августа 2020;https://stopgame.ru/show/113047/spiritfarer_review
;Кирилл Волошин;;24 августа 2020;https://stopgame.ru/show/113021/risk_of_rain_2_review
;Алексей Лихачев;;16 августа 2020;https://stopgame.ru/show/112947/there_is_no_game_wrong_dimension_review
;Кирилл Волошин;;11 августа 2020;https://stopgame.ru/show/112911/necrobarista_review
;Кирилл Волошин;;5 августа 2020;https://stopgame.ru/show/112865/r_ki_review
;Кирилл Волошин;;16 июня 2020;https://stopgame.ru/show/112401/desperados_iii_review
;Дмитрий Кунгуров;;12 июня 2020;https://stopgame.ru/show/112312/the_last_of_us_part_ii_review
;Кирилл Волошин;;9 июня 2020;https://stopgame.ru/show/112272/monster_train_review
;Кирилл Волошин;;3 июня 2020;https://stopgame.ru/show/112214/neversong_review
;Алексей Лихачев;;31 мая 2020;https://stopgame.ru/show/112185/xenoblade_chronicles_definitive_edition_review
;Игорь Ерышев;;31 мая 2020;https://stopgame.ru/show/112184/the_wonderful_101_remastered_review
;Кирилл Волошин;;17 мая 2020;https://stopgame.ru/show/108809/change_a_homeless_survival_experience_review
;Алексей Лихачев;;14 мая 2020;https://stopgame.ru/show/108775/huntdown_review
;Кирилл Волошин;;3 мая 2020;https://stopgame.ru/show/108667/cloudpunk_review
;Игорь Ерышев;;27 апреля 2020;https://stopgame.ru/show/108605/gears_tactics_review
;Катерина Краснопольская;;22 апреля 2020;https://stopgame.ru/show/108575/the_procession_to_calvary_review
;Кирилл Волошин;;8 апреля 2020;https://stopgame.ru/show/108407/the_legend_of_heroes_trails_of_cold_steel_3_review
;Геннадий Воробьев;;31 марта 2020;https://stopgame.ru/show/108308/half_life_alyx_review
;Алексей Лихачев;;26 марта 2020;https://stopgame.ru/show/108238/persona_5_royal_review
;Алексей Лихачев;;16 марта 2020;https://stopgame.ru/show/108149/animal_crossing_new_horizons_review
;Алексей Лихачев;;1 марта 2020;https://stopgame.ru/show/107991/lair_of_the_clockwork_god_review
;Алексей Лихачев;;27 февраля 2020;https://stopgame.ru/show/107969/bloodroots_review
;Алексей Лихачев;;7 января 2020;https://stopgame.ru/show/107339/axiom_verge_review
;Кирилл Волошин;;24 декабря 2019;https://stopgame.ru/show/107261/virgo_versus_the_zodiac_review
;Кирилл Волошин;;9 декабря 2019;https://stopgame.ru/show/106926/bug_fables_the_everlasting_sapling_review
;Алексей Лихачев;;27 ноября 2019;https://stopgame.ru/show/106837/the_touryst_review
;Кирилл Волошин;;28 октября 2019;https://stopgame.ru/show/106499/disco_elysium_review
;Кирилл Волошин;;25 октября 2019;https://stopgame.ru/show/106434/the_outer_worlds_review
;Алексей Лихачев;;6 октября 2019;https://stopgame.ru/show/106187/yooka_laylee_and_the_impossible_lair_review
;Алексей Лихачев;;30 сентября 2019;https://stopgame.ru/show/106091/dragon_quest_xi_s_echoes_of_an_elusive_age_definitive_edition_review
;Кирилл Волошин;;30 сентября 2019;https://stopgame.ru/show/106088/stygian_reign_of_the_old_ones_review
;Алексей Лихачев;;18 сентября 2019;https://stopgame.ru/show/105896/ai_the_somnium_files_review
;Кирилл Волошин;;12 сентября 2019;https://stopgame.ru/show/105840/children_of_morta_review
;Алексей Лихачев;;7 сентября 2019;https://stopgame.ru/show/105774/river_city_girls_review
;Алексей Лихачев;;27 августа 2019;https://stopgame.ru/show/105645/telling_lies_review
;Кирилл Волошин;;21 августа 2019;https://stopgame.ru/show/105546/a_short_hike_review
;Алексей Лихачев;;6 августа 2019;https://stopgame.ru/show/105377/fire_emblem_three_houses_review
;Кирилл Волошин;;24 июля 2019;https://stopgame.ru/show/105302/streets_of_rogue_review
;Кирилл Волошин;;19 июля 2019;https://stopgame.ru/show/105248/blazing_chrome_review
;Кирилл Волошин;;14 июля 2019;https://stopgame.ru/show/105191/for_the_king_review
;Алексей Лихачев;;5 июля 2019;https://stopgame.ru/show/105012/super_mario_maker_2_review
;Кирилл Волошин;;30 июня 2019;https://stopgame.ru/show/104980/amid_evil_review
;Кирилл Волошин;;26 июня 2019;https://stopgame.ru/show/104937/bloodstained_ritual_of_the_night_review
;Алексей Лихачев;;18 июня 2019;https://stopgame.ru/show/104847/cadence_of_hyrule_crypt_of_the_necrodancer_featuring_the_legend_of_zelda_review
;Степан Песков;;10 июня 2019;https://stopgame.ru/show/104721/outer_wilds_review
;Кирилл Волошин;;6 июня 2019;https://stopgame.ru/show/104636/void_bastards_review
;Кирилл Волошин;;26 мая 2019;https://stopgame.ru/show/104482/druidstone_the_secret_of_the_menhir_forest_review
;Кирилл Волошин;;21 мая 2019;https://stopgame.ru/show/104429/thea_2_the_shattering_review
;Алексей Лихачев;;22 апреля 2019;https://stopgame.ru/show/104044/katana_zero_review
;Кирилл Волошин;;18 апреля 2019;https://stopgame.ru/show/104018/supraland_review
;Алексей Лихачев;;17 марта 2019;https://stopgame.ru/show/103599/baba_is_you_review
;Алексей Лихачев;;9 марта 2019;https://stopgame.ru/show/103518/ape_out_review
;Кирилл Волошин;;24 февраля 2019;https://stopgame.ru/show/103392/eastshade_review
;Степан Песков;;15 февраля 2019;https://stopgame.ru/show/103284/apex_legends_review
;Алексей Швек;;15 февраля 2019;https://stopgame.ru/show/103254/mario_luigi_bowser_s_inside_story_bowser_jr_s_journey_review
;Алексей Лихачев;;7 февраля 2019;https://stopgame.ru/show/103182/kingdom_hearts_iii_review
;Алексей Лихачев;;6 февраля 2019;https://stopgame.ru/show/103165/wargroove_review
;Алексей Лихачев;;4 февраля 2019;https://stopgame.ru/show/103140/unruly_heroes_review
;Кирилл Волошин;;1 февраля 2019;https://stopgame.ru/show/103102/slay_the_spire_review
;Кирилл Волошин;;20 января 2019;https://stopgame.ru/show/102885/tales_of_vesperia_definitive_edition_review
;Кирилл Волошин;;24 декабря 2018;https://stopgame.ru/show/102681/gris_review
;Алексей Лихачев;;23 декабря 2018;https://stopgame.ru/show/102631/dusk_review
;Алексей Швек;;18 декабря 2018;https://stopgame.ru/show/102602/super_smash_bros_ultimate_review
;Алексей Лихачев;;17 декабря 2018;https://stopgame.ru/show/102549/monster_boy_and_the_cursed_kingdom_review
;Кирилл Волошин;;17 ноября 2018;https://stopgame.ru/show/102076/steel_rats_review
;Степан Песков;;14 ноября 2018;https://stopgame.ru/show/102043/11_11_memories_retold_review
;Алексей Лихачев;;13 ноября 2018;https://stopgame.ru/show/102013/tetris_effect_review
;Алексей Лихачев;;26 октября 2018;https://stopgame.ru/show/101751/return_of_the_obra_dinn_review
;Алексей Лихачев;;13 октября 2018;https://stopgame.ru/show/101541/wandersong_review
;Кирилл Волошин;;2 октября 2018;https://stopgame.ru/show/101466/underhero_review
;Кирилл Волошин;;2 октября 2018;https://stopgame.ru/show/101464/crosscode_review
